TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/received_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="1345602841643241709" resource.labels."zone"="europe-central2-c" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240520-173618
instance_name,instance-20240520-173618
project_id,ddls-owen-gombas
Tue May 21 2024 12:46:00 GMT+0200 (Central European Summer Time),711.2166666666667
Tue May 21 2024 12:47:00 GMT+0200 (Central European Summer Time),713.8833333333333
Tue May 21 2024 12:48:00 GMT+0200 (Central European Summer Time),712.9833333333333
Tue May 21 2024 12:49:00 GMT+0200 (Central European Summer Time),708.2166666666667
Tue May 21 2024 12:50:00 GMT+0200 (Central European Summer Time),710.9333333333333
Tue May 21 2024 12:51:00 GMT+0200 (Central European Summer Time),725.3833333333333
Tue May 21 2024 12:52:00 GMT+0200 (Central European Summer Time),1571.4166666666667
Tue May 21 2024 12:53:00 GMT+0200 (Central European Summer Time),6246.866666666667
Tue May 21 2024 12:54:00 GMT+0200 (Central European Summer Time),6715.9
Tue May 21 2024 12:55:00 GMT+0200 (Central European Summer Time),1274.7833333333333
Tue May 21 2024 12:56:00 GMT+0200 (Central European Summer Time),1556.0666666666666
Tue May 21 2024 12:57:00 GMT+0200 (Central European Summer Time),2094.266666666667
Tue May 21 2024 12:58:00 GMT+0200 (Central European Summer Time),1733.5333333333333
Tue May 21 2024 12:59:00 GMT+0200 (Central European Summer Time),1174.5833333333333
Tue May 21 2024 13:00:00 GMT+0200 (Central European Summer Time),1912.8
Tue May 21 2024 13:01:00 GMT+0200 (Central European Summer Time),1539.5
Tue May 21 2024 13:02:00 GMT+0200 (Central European Summer Time),1911.3
Tue May 21 2024 13:03:00 GMT+0200 (Central European Summer Time),838535.4
Tue May 21 2024 13:04:00 GMT+0200 (Central European Summer Time),4012818.183333333
Tue May 21 2024 13:05:00 GMT+0200 (Central European Summer Time),2744495.033333333
Tue May 21 2024 13:06:00 GMT+0200 (Central European Summer Time),2546863.316666667
Tue May 21 2024 13:07:00 GMT+0200 (Central European Summer Time),2282220.95
Tue May 21 2024 13:08:00 GMT+0200 (Central European Summer Time),2062646.6
Tue May 21 2024 13:09:00 GMT+0200 (Central European Summer Time),1971853.7833333334
Tue May 21 2024 13:10:00 GMT+0200 (Central European Summer Time),1826334.0833333333
Tue May 21 2024 13:11:00 GMT+0200 (Central European Summer Time),1795578.8833333333
Tue May 21 2024 13:12:00 GMT+0200 (Central European Summer Time),1651947.0666666667
Tue May 21 2024 13:13:00 GMT+0200 (Central European Summer Time),1573119.05
Tue May 21 2024 13:14:00 GMT+0200 (Central European Summer Time),1470782.3166666667
Tue May 21 2024 13:15:00 GMT+0200 (Central European Summer Time),1365521.0666666667
Tue May 21 2024 13:16:00 GMT+0200 (Central European Summer Time),1332007.0333333334
Tue May 21 2024 13:17:00 GMT+0200 (Central European Summer Time),1237100.1333333333
Tue May 21 2024 13:18:00 GMT+0200 (Central European Summer Time),1263434.5
Tue May 21 2024 13:19:00 GMT+0200 (Central European Summer Time),1217963.7
Tue May 21 2024 13:20:00 GMT+0200 (Central European Summer Time),1147225.5833333333
Tue May 21 2024 13:21:00 GMT+0200 (Central European Summer Time),1088602
Tue May 21 2024 13:22:00 GMT+0200 (Central European Summer Time),1116484.7833333334
Tue May 21 2024 13:23:00 GMT+0200 (Central European Summer Time),1081248.3
