TimeSeries ID,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/sent_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="1345602841643241709" resource.labels."zone"="europe-central2-c" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240520-173618
instance_name,instance-20240520-173618
project_id,ddls-owen-gombas
Tue May 21 2024 12:46:00 GMT+0200 (Central European Summer Time),263.06666666666666
Tue May 21 2024 12:47:00 GMT+0200 (Central European Summer Time),269.9166666666667
Tue May 21 2024 12:48:00 GMT+0200 (Central European Summer Time),294.21666666666664
Tue May 21 2024 12:49:00 GMT+0200 (Central European Summer Time),272.6333333333333
Tue May 21 2024 12:50:00 GMT+0200 (Central European Summer Time),301.03333333333336
Tue May 21 2024 12:51:00 GMT+0200 (Central European Summer Time),383.6
Tue May 21 2024 12:52:00 GMT+0200 (Central European Summer Time),6108.2
Tue May 21 2024 12:53:00 GMT+0200 (Central European Summer Time),29971.483333333334
Tue May 21 2024 12:54:00 GMT+0200 (Central European Summer Time),23845.116666666665
Tue May 21 2024 12:55:00 GMT+0200 (Central European Summer Time),766.8
Tue May 21 2024 12:56:00 GMT+0200 (Central European Summer Time),982.9833333333333
Tue May 21 2024 12:57:00 GMT+0200 (Central European Summer Time),1585.8333333333333
Tue May 21 2024 12:58:00 GMT+0200 (Central European Summer Time),1327.6666666666667
Tue May 21 2024 12:59:00 GMT+0200 (Central European Summer Time),782.2833333333333
Tue May 21 2024 13:00:00 GMT+0200 (Central European Summer Time),1467.65
Tue May 21 2024 13:01:00 GMT+0200 (Central European Summer Time),1091.8833333333334
Tue May 21 2024 13:02:00 GMT+0200 (Central European Summer Time),1462.7
Tue May 21 2024 13:03:00 GMT+0200 (Central European Summer Time),1030796.5166666667
Tue May 21 2024 13:04:00 GMT+0200 (Central European Summer Time),5350172.633333334
Tue May 21 2024 13:05:00 GMT+0200 (Central European Summer Time),5475766.883333334
Tue May 21 2024 13:06:00 GMT+0200 (Central European Summer Time),5080793.566666666
Tue May 21 2024 13:07:00 GMT+0200 (Central European Summer Time),4558919.583333333
Tue May 21 2024 13:08:00 GMT+0200 (Central European Summer Time),4131847.533333333
Tue May 21 2024 13:09:00 GMT+0200 (Central European Summer Time),3919077.3
Tue May 21 2024 13:10:00 GMT+0200 (Central European Summer Time),3653649.3833333333
Tue May 21 2024 13:11:00 GMT+0200 (Central European Summer Time),3561493.8
Tue May 21 2024 13:12:00 GMT+0200 (Central European Summer Time),3296627.3
Tue May 21 2024 13:13:00 GMT+0200 (Central European Summer Time),3148528.7
Tue May 21 2024 13:14:00 GMT+0200 (Central European Summer Time),2914988.6333333333
Tue May 21 2024 13:15:00 GMT+0200 (Central European Summer Time),2722686.033333333
Tue May 21 2024 13:16:00 GMT+0200 (Central European Summer Time),2656280.966666667
Tue May 21 2024 13:17:00 GMT+0200 (Central European Summer Time),2467157.283333333
Tue May 21 2024 13:18:00 GMT+0200 (Central European Summer Time),2523704.0166666666
Tue May 21 2024 13:19:00 GMT+0200 (Central European Summer Time),2439522.6666666665
Tue May 21 2024 13:20:00 GMT+0200 (Central European Summer Time),2273734.9833333334
Tue May 21 2024 13:21:00 GMT+0200 (Central European Summer Time),2170225.8333333335
Tue May 21 2024 13:22:00 GMT+0200 (Central European Summer Time),2226834.6
Tue May 21 2024 13:23:00 GMT+0200 (Central European Summer Time),2159171.15
