TimeSeries ID,total direction=Write,total direction=Read
direction,Write,Read
Tue May 21 2024 12:47:00 GMT+0200 (Central European Summer Time),27378.066666666666,935.3
Tue May 21 2024 12:48:00 GMT+0200 (Central European Summer Time),25453.5,26.5
Tue May 21 2024 12:49:00 GMT+0200 (Central European Summer Time),26643.166666666668,110.03333333333333
Tue May 21 2024 12:50:00 GMT+0200 (Central European Summer Time),28986.216666666667,22284.333333333332
Tue May 21 2024 12:51:00 GMT+0200 (Central European Summer Time),41292.933333333334,239267.53333333333
Tue May 21 2024 12:52:00 GMT+0200 (Central European Summer Time),36945.48333333334,805362.8333333334
Tue May 21 2024 12:53:00 GMT+0200 (Central European Summer Time),114329.2,1231251.1833333333
Tue May 21 2024 12:54:00 GMT+0200 (Central European Summer Time),388827.1,1733907.2833333332
Tue May 21 2024 12:55:00 GMT+0200 (Central European Summer Time),61651.76666666666,6030.633333333333
Tue May 21 2024 12:56:00 GMT+0200 (Central European Summer Time),33965.95,3382.3333333333335
Tue May 21 2024 12:57:00 GMT+0200 (Central European Summer Time),32389.45,862223.6833333333
Tue May 21 2024 12:58:00 GMT+0200 (Central European Summer Time),36857.1,4993791.75
Tue May 21 2024 12:59:00 GMT+0200 (Central European Summer Time),29008.916666666668,6059441.2
Tue May 21 2024 13:00:00 GMT+0200 (Central European Summer Time),36977.683333333334,29312.283333333333
Tue May 21 2024 13:01:00 GMT+0200 (Central European Summer Time),31899.583333333332,1558.9
Tue May 21 2024 13:02:00 GMT+0200 (Central European Summer Time),42419.71666666667,1414.2833333333333
Tue May 21 2024 13:03:00 GMT+0200 (Central European Summer Time),677070.0333333333,657717.5833333334
Tue May 21 2024 13:04:00 GMT+0200 (Central European Summer Time),4338000.616666666,2725061.0166666666
Tue May 21 2024 13:05:00 GMT+0200 (Central European Summer Time),8932305.583333334,5281.7
Tue May 21 2024 13:06:00 GMT+0200 (Central European Summer Time),11623762.333333332,1139.4166666666667
Tue May 21 2024 13:07:00 GMT+0200 (Central European Summer Time),14993967.783333333,4797.766666666666
Tue May 21 2024 13:08:00 GMT+0200 (Central European Summer Time),15664507.233333332,288.3333333333333
Tue May 21 2024 13:09:00 GMT+0200 (Central European Summer Time),16537358.216666667,55.016666666666666
Tue May 21 2024 13:10:00 GMT+0200 (Central European Summer Time),18514774.683333334,847.9833333333333
Tue May 21 2024 13:11:00 GMT+0200 (Central European Summer Time),19774567.266666666,3521.0833333333335
Tue May 21 2024 13:12:00 GMT+0200 (Central European Summer Time),20238913.23333333,13.25
Tue May 21 2024 13:13:00 GMT+0200 (Central European Summer Time),20829200.28333333,214
Tue May 21 2024 13:14:00 GMT+0200 (Central European Summer Time),21020830.95,673.4666666666667
Tue May 21 2024 13:15:00 GMT+0200 (Central European Summer Time),20861047.03333333,479
Tue May 21 2024 13:16:00 GMT+0200 (Central European Summer Time),21263954.116666667,1773.8
Tue May 21 2024 13:17:00 GMT+0200 (Central European Summer Time),21418844.416666668,187.5
Tue May 21 2024 13:18:00 GMT+0200 (Central European Summer Time),20822205.016666666,550.1833333333333
Tue May 21 2024 13:19:00 GMT+0200 (Central European Summer Time),22309533.383333333,13.25
Tue May 21 2024 13:20:00 GMT+0200 (Central European Summer Time),21970067.566666666,346.5
Tue May 21 2024 13:21:00 GMT+0200 (Central European Summer Time),22419232.233333334,1621.1166666666666
Tue May 21 2024 13:22:00 GMT+0200 (Central European Summer Time),22441153.2,1718.7833333333333
Tue May 21 2024 13:23:00 GMT+0200 (Central European Summer Time),22346513.633333333,55.016666666666666
Tue May 21 2024 13:24:00 GMT+0200 (Central European Summer Time),23007043.716666665,13.25
Tue May 21 2024 13:25:00 GMT+0200 (Central European Summer Time),23354607.566666666,293.5
Tue May 21 2024 13:26:00 GMT+0200 (Central European Summer Time),23162497.466666665,1030.0666666666666
Tue May 21 2024 13:27:00 GMT+0200 (Central European Summer Time),23449339.2,257.8
Tue May 21 2024 13:28:00 GMT+0200 (Central European Summer Time),23297840.25,1047.5833333333333
Tue May 21 2024 13:29:00 GMT+0200 (Central European Summer Time),22993573.183333334,2923.1
Tue May 21 2024 13:30:00 GMT+0200 (Central European Summer Time),22027764.233333334,7538.683333333333
Tue May 21 2024 13:31:00 GMT+0200 (Central European Summer Time),21011439.55,76958.2
Tue May 21 2024 13:32:00 GMT+0200 (Central European Summer Time),21387438.566666666,356213.2
Tue May 21 2024 13:33:00 GMT+0200 (Central European Summer Time),20713514.383333333,913691.5499999999
Tue May 21 2024 13:34:00 GMT+0200 (Central European Summer Time),20514186.166666668,1265261.6333333333
Tue May 21 2024 13:35:00 GMT+0200 (Central European Summer Time),19996166.916666668,548015.1833333333
Tue May 21 2024 13:36:00 GMT+0200 (Central European Summer Time),22838689.28333333,3453.983333333333
Tue May 21 2024 13:37:00 GMT+0200 (Central European Summer Time),24086868.066666666,1333.65
Tue May 21 2024 13:38:00 GMT+0200 (Central European Summer Time),23457021.733333334,651.2
Tue May 21 2024 13:39:00 GMT+0200 (Central European Summer Time),23886008.799999997,2475.8166666666666
Tue May 21 2024 13:40:00 GMT+0200 (Central European Summer Time),24595036.45,225.23333333333332
Tue May 21 2024 13:41:00 GMT+0200 (Central European Summer Time),24008394.93333333,948.55
Tue May 21 2024 13:42:00 GMT+0200 (Central European Summer Time),24857854.7,492.23333333333335
Tue May 21 2024 13:43:00 GMT+0200 (Central European Summer Time),24181317.78333333,1815.5833333333333
Tue May 21 2024 13:44:00 GMT+0200 (Central European Summer Time),24483881.183333334,185.48333333333332
Tue May 21 2024 13:45:00 GMT+0200 (Central European Summer Time),25627012.833333336,942.4833333333333
Tue May 21 2024 13:46:00 GMT+0200 (Central European Summer Time),24249061.566666666,715.2333333333333
Tue May 21 2024 13:47:00 GMT+0200 (Central European Summer Time),25018152.9,13.25
Tue May 21 2024 13:48:00 GMT+0200 (Central European Summer Time),24501973.716666665,68.26666666666667
Tue May 21 2024 13:49:00 GMT+0200 (Central European Summer Time),25620662.9,55.016666666666666
Tue May 21 2024 13:50:00 GMT+0200 (Central European Summer Time),25935797.483333334,158.98333333333332
Tue May 21 2024 13:51:00 GMT+0200 (Central European Summer Time),24325938.05,673.4666666666667
Tue May 21 2024 13:52:00 GMT+0200 (Central European Summer Time),25631072.433333334,94.76666666666667
Tue May 21 2024 13:53:00 GMT+0200 (Central European Summer Time),25573231.883333333,204.8
Tue May 21 2024 13:54:00 GMT+0200 (Central European Summer Time),24643127.9,363.7833333333333
Tue May 21 2024 13:55:00 GMT+0200 (Central European Summer Time),25908387.316666666,825.2666666666667
Tue May 21 2024 13:56:00 GMT+0200 (Central European Summer Time),25698999.45,1311.7
Tue May 21 2024 13:57:00 GMT+0200 (Central European Summer Time),25431026.516666666,5446.7
Tue May 21 2024 13:58:00 GMT+0200 (Central European Summer Time),25570879.883333333,1324.9166666666667
Tue May 21 2024 13:59:00 GMT+0200 (Central European Summer Time),26085411.55,5501.75
Tue May 21 2024 14:00:00 GMT+0200 (Central European Summer Time),26318761.28333333,0
Tue May 21 2024 14:01:00 GMT+0200 (Central European Summer Time),25169752.233333334,0
Tue May 21 2024 14:02:00 GMT+0200 (Central European Summer Time),25241423.55,0
Tue May 21 2024 14:03:00 GMT+0200 (Central European Summer Time),26106140.7,79.5
Tue May 21 2024 14:04:00 GMT+0200 (Central European Summer Time),26327730.916666668,608.3166666666666
Tue May 21 2024 14:05:00 GMT+0200 (Central European Summer Time),26281521.833333332,1380.6166666666666
Tue May 21 2024 14:06:00 GMT+0200 (Central European Summer Time),25696141.183333334,935.3
Tue May 21 2024 14:07:00 GMT+0200 (Central European Summer Time),25253405.849999998,344.46666666666664
Tue May 21 2024 14:08:00 GMT+0200 (Central European Summer Time),26435825.466666665,1430.4666666666667
Tue May 21 2024 14:09:00 GMT+0200 (Central European Summer Time),26416236.55,119.23333333333333
Tue May 21 2024 14:10:00 GMT+0200 (Central European Summer Time),26423063.35,495.1666666666667
Tue May 21 2024 14:11:00 GMT+0200 (Central European Summer Time),26780373.6,861.15
Tue May 21 2024 14:12:00 GMT+0200 (Central European Summer Time),26217225.7,4106.15
Tue May 21 2024 14:13:00 GMT+0200 (Central European Summer Time),25380913.066666666,4413.3
