TimeSeries ID,total direction=Write,total direction=Read
direction,Write,Read
Tue May 21 2024 14:39:00 GMT+0200 (Central European Summer Time),297183.06666666665,12970124.233333334
Tue May 21 2024 14:40:00 GMT+0200 (Central European Summer Time),91463.33333333333,2532996.5500000003
Tue May 21 2024 14:41:00 GMT+0200 (Central European Summer Time),41170.26666666667,2488.4333333333334
Tue May 21 2024 14:42:00 GMT+0200 (Central European Summer Time),35164,80356.05
Tue May 21 2024 14:43:00 GMT+0200 (Central European Summer Time),51493.9,19377.433333333334
Tue May 21 2024 14:44:00 GMT+0200 (Central European Summer Time),86578.23333333334,1206171.3333333333
Tue May 21 2024 14:45:00 GMT+0200 (Central European Summer Time),3678446.683333333,3458815.716666667
Tue May 21 2024 14:46:00 GMT+0200 (Central European Summer Time),84632005.41666667,619148.2666666666
Tue May 21 2024 14:47:00 GMT+0200 (Central European Summer Time),73882085.93333334,3317.633333333333
Tue May 21 2024 14:48:00 GMT+0200 (Central European Summer Time),45026583.36666667,4186155.4499999997
Tue May 21 2024 14:49:00 GMT+0200 (Central European Summer Time),7154208.033333333,828995.8
Tue May 21 2024 14:50:00 GMT+0200 (Central European Summer Time),29277825.766666666,9354.383333333333
Tue May 21 2024 14:51:00 GMT+0200 (Central European Summer Time),71110788.96666667,125.83333333333333
Tue May 21 2024 14:52:00 GMT+0200 (Central European Summer Time),47096933.88333333,136.53333333333333
Tue May 21 2024 14:53:00 GMT+0200 (Central European Summer Time),6629414.116666666,63908.73333333333
Tue May 21 2024 14:54:00 GMT+0200 (Central European Summer Time),271718.1666666667,121475.18333333333
Tue May 21 2024 14:55:00 GMT+0200 (Central European Summer Time),402387.9,70927.4
Tue May 21 2024 14:56:00 GMT+0200 (Central European Summer Time),41892781.099999994,62643.11666666667
Tue May 21 2024 14:57:00 GMT+0200 (Central European Summer Time),41085258.13333333,359275.26666666666
Tue May 21 2024 14:58:00 GMT+0200 (Central European Summer Time),6235722.583333333,112552.09999999999
Tue May 21 2024 14:59:00 GMT+0200 (Central European Summer Time),45227.3,131095.53333333333
Tue May 21 2024 15:00:00 GMT+0200 (Central European Summer Time),37516.183333333334,22749.95
Tue May 21 2024 15:01:00 GMT+0200 (Central European Summer Time),33638.066666666666,57.55
Tue May 21 2024 15:02:00 GMT+0200 (Central European Summer Time),23232086.383333333,31090.783333333333
Tue May 21 2024 15:03:00 GMT+0200 (Central European Summer Time),25969659.2,39166.45
Tue May 21 2024 15:04:00 GMT+0200 (Central European Summer Time),10792921.316666666,23939.366666666665
