TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/received_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="987861714045355492" resource.labels."zone"="europe-west4-b" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240521-124408
instance_name,instance-20240521-124408
project_id,ddls-owen-gombas
Tue May 21 2024 18:48:00 GMT+0200 (Central European Summer Time),496950.11666666664
Tue May 21 2024 18:49:00 GMT+0200 (Central European Summer Time),918383.25
Tue May 21 2024 18:50:00 GMT+0200 (Central European Summer Time),983962.1333333333
Tue May 21 2024 18:51:00 GMT+0200 (Central European Summer Time),660650.5333333333
Tue May 21 2024 18:52:00 GMT+0200 (Central European Summer Time),487760.25
Tue May 21 2024 18:53:00 GMT+0200 (Central European Summer Time),452459.48333333334
Tue May 21 2024 18:54:00 GMT+0200 (Central European Summer Time),450092.51666666666
Tue May 21 2024 18:55:00 GMT+0200 (Central European Summer Time),488244.7833333333
Tue May 21 2024 18:56:00 GMT+0200 (Central European Summer Time),454805.7833333333
Tue May 21 2024 18:57:00 GMT+0200 (Central European Summer Time),469215.0333333333
Tue May 21 2024 18:58:00 GMT+0200 (Central European Summer Time),853345.1166666667
Tue May 21 2024 18:59:00 GMT+0200 (Central European Summer Time),938049.9
Tue May 21 2024 19:00:00 GMT+0200 (Central European Summer Time),960002.2666666667
Tue May 21 2024 19:01:00 GMT+0200 (Central European Summer Time),640891.4
Tue May 21 2024 19:02:00 GMT+0200 (Central European Summer Time),485647.4666666667
Tue May 21 2024 19:03:00 GMT+0200 (Central European Summer Time),452524.5333333333
Tue May 21 2024 19:04:00 GMT+0200 (Central European Summer Time),469239.51666666666
Tue May 21 2024 19:05:00 GMT+0200 (Central European Summer Time),471535.38333333336
Tue May 21 2024 19:06:00 GMT+0200 (Central European Summer Time),446105.2
Tue May 21 2024 19:07:00 GMT+0200 (Central European Summer Time),455433.45
Tue May 21 2024 19:08:00 GMT+0200 (Central European Summer Time),469933.95
Tue May 21 2024 19:09:00 GMT+0200 (Central European Summer Time),452447.95
Tue May 21 2024 19:10:00 GMT+0200 (Central European Summer Time),488154.88333333336
Tue May 21 2024 19:11:00 GMT+0200 (Central European Summer Time),435779.35
