TimeSeries ID,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/sent_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="987861714045355492" resource.labels."zone"="europe-west4-b" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240521-124408
instance_name,instance-20240521-124408
project_id,ddls-owen-gombas
Tue May 21 2024 18:48:00 GMT+0200 (Central European Summer Time),252320.66666666666
Tue May 21 2024 18:49:00 GMT+0200 (Central European Summer Time),470362.65
Tue May 21 2024 18:50:00 GMT+0200 (Central European Summer Time),497421.05
Tue May 21 2024 18:51:00 GMT+0200 (Central European Summer Time),333454.26666666666
Tue May 21 2024 18:52:00 GMT+0200 (Central European Summer Time),246143.18333333332
Tue May 21 2024 18:53:00 GMT+0200 (Central European Summer Time),228306.16666666666
Tue May 21 2024 18:54:00 GMT+0200 (Central European Summer Time),227171.2
Tue May 21 2024 18:55:00 GMT+0200 (Central European Summer Time),246318.43333333332
Tue May 21 2024 18:56:00 GMT+0200 (Central European Summer Time),229484.28333333333
Tue May 21 2024 18:57:00 GMT+0200 (Central European Summer Time),236698.23333333334
Tue May 21 2024 18:58:00 GMT+0200 (Central European Summer Time),430661.25
Tue May 21 2024 18:59:00 GMT+0200 (Central European Summer Time),473395.0833333333
Tue May 21 2024 19:00:00 GMT+0200 (Central European Summer Time),475912.2166666667
Tue May 21 2024 19:01:00 GMT+0200 (Central European Summer Time),330996.1
Tue May 21 2024 19:02:00 GMT+0200 (Central European Summer Time),241899.95
Tue May 21 2024 19:03:00 GMT+0200 (Central European Summer Time),232013.56666666668
Tue May 21 2024 19:04:00 GMT+0200 (Central European Summer Time),237288.55
Tue May 21 2024 19:05:00 GMT+0200 (Central European Summer Time),237924.88333333333
Tue May 21 2024 19:06:00 GMT+0200 (Central European Summer Time),218722.01666666666
Tue May 21 2024 19:07:00 GMT+0200 (Central European Summer Time),235473.95
Tue May 21 2024 19:08:00 GMT+0200 (Central European Summer Time),237908.11666666667
Tue May 21 2024 19:09:00 GMT+0200 (Central European Summer Time),228371.65
Tue May 21 2024 19:10:00 GMT+0200 (Central European Summer Time),239649.96666666667
Tue May 21 2024 19:11:00 GMT+0200 (Central European Summer Time),225868.23333333334
