epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
0,1716380553.9183664,1716380557.5738099,1716380553.9183667,1716380554.041154,1716380554.2217827,1716380554.2217846,1716380553.918369,1716380554.041095,1716380554.2420323,1716380554.2429125,1716380554.0410964,1716380554.242034,0,1.2263668775558472,2.563868284225464,1716380554.242913,,1716380554.26884,1716380557.1581306,1716380557.1581326,1716380557.5737271,444.4602355957031,1.0983142852783203
1,1716380557.5738566,1716380557.5968325,1716380557.573857,1716380557.577608,1716380557.5818462,1716380557.581847,1716380557.5738642,1716380557.5775597,1716380557.584757,1716380557.5967367,1716380557.577561,1716380557.5847578,1,1.3880459070205688,3.703134298324585,1716380557.5967374,,,,,,,
2,1716380557.5968723,1716380557.6192784,1716380557.596873,1716380557.6000042,1716380557.603203,1716380557.6032038,1716380557.5968883,1716380557.599966,1716380557.606022,1716380557.6191833,1716380557.5999668,1716380557.6060226,2,1.2004871368408203,3.3534774780273438,1716380557.6191838,,,,,,,
3,1716380557.6193168,1716380557.6418116,1716380557.619317,1716380557.6225216,1716380557.626276,1716380557.626277,1716380557.6193438,1716380557.6224732,1716380557.62875,1716380557.6417224,1716380557.622474,1716380557.628751,3,1.549729347229004,3.7990596294403076,1716380557.6417227,,,,,,,
4,1716380557.6418514,1716380557.664462,1716380557.6418517,1716380557.6452217,1716380557.649013,1716380557.6490138,1716380557.6418657,1716380557.6451848,1716380557.6514084,1716380557.6643574,1716380557.6451852,1716380557.6514094,4,1.4399696588516235,3.6437156200408936,1716380557.6643577,,,,,,,
5,1716380557.6645153,1716380557.6871555,1716380557.6645157,1716380557.6677961,1716380557.6711893,1716380557.67119,1716380557.664534,1716380557.6677618,1716380557.673671,1716380557.687076,1716380557.6677625,1716380557.6736715,5,1.2839903831481934,3.8059003353118896,1716380557.6870766,,,,,,,
6,1716380557.6872058,1716380557.7095969,1716380557.6872065,1716380557.6903183,1716380557.69382,1716380557.6938207,1716380557.6872222,1716380557.6902843,1716380557.6964576,1716380557.7095206,1716380557.6902847,1716380557.6964586,6,1.0723061561584473,3.548654317855835,1716380557.7095208,,,,,,,
7,1716380557.7096481,1716380557.7318614,1716380557.7096484,1716380557.712583,1716380557.7158227,1716380557.7158234,1716380557.709665,1716380557.71255,1716380557.718363,1716380557.731789,1716380557.7125504,1716380557.718364,7,1.1626408100128174,4.177409648895264,1716380557.7317894,,,,,,,
8,1716380557.731918,1716380557.7489502,1716380557.7319186,1716380557.7351365,1716380557.7384777,1716380557.7384784,1716380557.731935,1716380557.7351005,1716380557.7410004,1716380557.7488725,1716380557.7351012,1716380557.7410011,8,1.2854238748550415,3.2005937099456787,1716380557.7488728,,,,,,,
9,1716380557.748984,1716380557.762317,1716380557.7489846,1716380557.7520497,1716380557.7553468,1716380557.7553475,1716380557.7489972,1716380557.7520144,1716380557.7580845,1716380557.7622447,1716380557.752015,1716380557.7580857,9,1.1727763414382935,4.348250865936279,1716380557.7622452,,,,,,,
10,1716380557.7623775,1716380557.7762446,1716380557.7623777,1716380557.7658403,1716380557.7692685,1716380557.7692692,1716380557.7623942,1716380557.7658067,1716380557.7716565,1716380557.7761614,1716380557.7658072,1716380557.7716572,10,0.6940797567367554,3.572174549102783,1716380557.7761621,,,,,,,
11,1716380557.7763102,1716380557.7899125,1716380557.7763104,1716380557.779642,1716380557.7831886,1716380557.783189,1716380557.7763245,1716380557.7796068,1716380557.785689,1716380557.789838,1716380557.7796073,1716380557.7856898,11,1.4903368949890137,3.7366089820861816,1716380557.7898383,,,,,,,
12,1716380557.7899582,1716380557.803418,1716380557.7899585,1716380557.793164,1716380557.796627,1716380557.7966275,1716380557.789975,1716380557.793113,1716380557.799184,1716380557.8033435,1716380557.793114,1716380557.7991848,12,1.1560308933258057,3.8350930213928223,1716380557.8033435,,,,,,,
13,1716380557.8034663,1716380557.8169725,1716380557.8034668,1716380557.806682,1716380557.8100626,1716380557.8100634,1716380557.8034818,1716380557.806648,1716380557.8125594,1716380557.816899,1716380557.8066485,1716380557.81256,13,1.0621376037597656,4.2658281326293945,1716380557.8168995,,,,,,,
14,1716380557.8170214,1716380557.8304594,1716380557.8170218,1716380557.8201694,1716380557.8233695,1716380557.82337,1716380557.8170383,1716380557.8201358,1716380557.8259633,1716380557.8303862,1716380557.8201365,1716380557.825964,14,1.05348539352417,4.179732322692871,1716380557.8303864,,,,,,,
15,1716380557.83051,1716380557.843973,1716380557.8305104,1716380557.833675,1716380557.8371532,1716380557.8371537,1716380557.830526,1716380557.8336413,1716380557.839587,1716380557.8439016,1716380557.8336418,1716380557.839588,15,0.5806270837783813,4.374917030334473,1716380557.8439019,,,,,,,
16,1716380557.8440208,1716380557.8572514,1716380557.844021,1716380557.8472605,1716380557.8505826,1716380557.850583,1716380557.8440375,1716380557.847226,1716380557.853119,1716380557.8571792,1716380557.8472264,1716380557.8531199,16,1.2116241455078125,3.521646499633789,1716380557.8571794,,,,,,,
17,1716380557.8572989,1716380557.8705935,1716380557.8572996,1716380557.8605292,1716380557.8640113,1716380557.864012,1716380557.8573158,1716380557.860495,1716380557.8664544,1716380557.8705142,1716380557.8604956,1716380557.866455,17,1.2682380676269531,5.235457897186279,1716380557.8705144,,,,,,,
18,1716380557.870638,1716380557.8839452,1716380557.8706384,1716380557.8738327,1716380557.8773966,1716380557.8773973,1716380557.8706548,1716380557.8738,1716380557.879853,1716380557.8838506,1716380557.8738008,1716380557.8798537,18,0.5208879113197327,3.2010154724121094,1716380557.8838508,,,,,,,
19,1716380557.8839903,1716380557.8974261,1716380557.8839908,1716380557.88731,1716380557.8908825,1716380557.8908834,1716380557.8840075,1716380557.8872771,1716380557.8933764,1716380557.8973527,1716380557.8872778,1716380557.8933768,19,1.4110833406448364,4.6578874588012695,1716380557.8973532,,,,,,,
20,1716380557.8974721,1716380557.9106808,1716380557.8974729,1716380557.9005306,1716380557.9037163,1716380557.9037168,1716380557.8974853,1716380557.9004972,1716380557.9063778,1716380557.910602,1716380557.900498,1716380557.9063785,20,1.2686717510223389,4.9021830558776855,1716380557.9106023,,,,,,,
21,1716380557.9107354,1716380557.9240499,1716380557.9107356,1716380557.9139109,1716380557.9173207,1716380557.9173214,1716380557.9107533,1716380557.913878,1716380557.9199953,1716380557.923973,1716380557.9138784,1716380557.9199963,21,0.8866852521896362,3.2075583934783936,1716380557.9239736,,,,,,,
22,1716380557.9240966,1716380557.9374413,1716380557.9240968,1716380557.9273224,1716380557.9307733,1716380557.9307737,1716380557.9241114,1716380557.927289,1716380557.933293,1716380557.9373674,1716380557.9272895,1716380557.933294,22,1.0425928831100464,5.718670845031738,1716380557.937368,,,,,,,
23,1716380557.937473,1716380557.949638,1716380557.9374735,1716380557.9406872,1716380557.9441643,1716380557.9441648,1716380557.9375,1716380557.9406528,1716380557.9469216,1716380557.9495637,1716380557.9406533,1716380557.9469223,23,0.5352171659469604,3.522083282470703,1716380557.949564,,,,,,,
24,1716380557.9496698,1716380557.961322,1716380557.94967,1716380557.9529598,1716380557.9565647,1716380557.9565656,1716380557.9496903,1716380557.9529262,1716380557.95906,1716380557.9612498,1716380557.9529266,1716380557.9590607,24,0.9076793193817139,5.0937700271606445,1716380557.96125,,,,,,,
25,1716380557.961354,1716380557.9730635,1716380557.9613543,1716380557.9647512,1716380557.9683151,1716380557.9683156,1716380557.9613729,1716380557.9647174,1716380557.9707115,1716380557.972987,1716380557.9647179,1716380557.9707127,25,0.8138940930366516,3.264446258544922,1716380557.9729872,,,,,,,
26,1716380557.9731107,1716380557.9844518,1716380557.9731112,1716380557.976322,1716380557.9796631,1716380557.9796636,1716380557.973124,1716380557.9762888,1716380557.9822018,1716380557.9843793,1716380557.9762893,1716380557.9822025,26,1.2866162061691284,5.307664394378662,1716380557.9843795,,,,,,,
27,1716380557.984583,1716380557.9959772,1716380557.9845836,1716380557.987774,1716380557.99138,1716380557.9913805,1716380557.98459,1716380557.9877393,1716380557.9938567,1716380557.9958901,1716380557.9877398,1716380557.9938576,27,0.4549145996570587,3.013979434967041,1716380557.9958904,,,,,,,
28,1716380557.9960318,1716380558.0073686,1716380557.9960325,1716380557.9991822,1716380558.002579,1716380558.0025797,1716380557.9960504,1716380557.9991486,1716380558.0051868,1716380558.0072978,1716380557.999149,1716380558.0051877,28,1.2035350799560547,5.3378400802612305,1716380558.007298,,,,,,,
29,1716380558.0073993,1716380558.0190532,1716380558.0073998,1716380558.0109305,1716380558.0145667,1716380558.0145674,1716380558.0074198,1716380558.0108948,1716380558.0170841,1716380558.0189786,1716380558.0108953,1716380558.017085,29,0.7027925848960876,3.3018929958343506,1716380558.0189788,,,,,,,
30,1716380558.0190864,1716380558.030394,1716380558.0190868,1716380558.0222661,1716380558.02584,1716380558.0258405,1716380558.0191002,1716380558.0222323,1716380558.028397,1716380558.030321,1716380558.0222328,1716380558.0283978,30,0.7680908441543579,5.410223484039307,1716380558.030321,,,,,,,
31,1716380558.0304253,1716380558.0417693,1716380558.0304255,1716380558.0335176,1716380558.0372193,1716380558.0372198,1716380558.0304468,1716380558.0334826,1716380558.0398598,1716380558.0416923,1716380558.033483,1716380558.0398607,31,0.7752065658569336,3.2082314491271973,1716380558.0416927,,,,,,,
32,1716380558.0418158,1716380558.0531633,1716380558.041816,1716380558.0449321,1716380558.048309,1716380558.0483098,1716380558.0418332,1716380558.0448966,1716380558.0509136,1716380558.0530918,1716380558.0448973,1716380558.0509145,32,0.8189264535903931,6.3258161544799805,1716380558.053092,,,,,,,
33,1716380558.0531948,1716380558.0647063,1716380558.053195,1716380558.056456,1716380558.0599442,1716380558.0599449,1716380558.0532155,1716380558.0564203,1716380558.0626595,1716380558.0646327,1716380558.0564208,1716380558.0626605,33,0.8106313943862915,3.111746311187744,1716380558.064633,,,,,,,
34,1716380558.0647564,1716380558.0763679,1716380558.064757,1716380558.0680718,1716380558.071469,1716380558.0714695,1716380558.0647693,1716380558.068038,1716380558.0739446,1716380558.0762901,1716380558.0680385,1716380558.0739453,34,0.725626528263092,4.556761264801025,1716380558.0762904,,,,,,,
35,1716380558.0764153,1716380558.0878608,1716380558.0764158,1716380558.0795307,1716380558.0829475,1716380558.0829482,1716380558.076433,1716380558.0794954,1716380558.085443,1716380558.0877883,1716380558.079496,1716380558.0854437,35,0.40687716007232666,3.7758328914642334,1716380558.0877886,,,,,,,
36,1716380558.087926,1716380558.0993814,1716380558.0879266,1716380558.091052,1716380558.0945127,1716380558.0945132,1716380558.0879433,1716380558.091018,1716380558.097241,1716380558.0993068,1716380558.0910184,1716380558.0972416,36,0.6322596073150635,5.349642276763916,1716380558.0993068,,,,,,,
37,1716380558.0994282,1716380558.1110833,1716380558.0994287,1716380558.1029701,1716380558.1063416,1716380558.106342,1716380558.0994387,1716380558.102936,1716380558.108765,1716380558.111002,1716380558.1029365,1716380558.1087656,37,0.4335189461708069,3.7405221462249756,1716380558.1110022,,,,,,,
38,1716380558.1111312,1716380558.1223612,1716380558.1111314,1716380558.114254,1716380558.117942,1716380558.1179426,1716380558.111147,1716380558.1142204,1716380558.1204293,1716380558.12229,1716380558.114221,1716380558.12043,38,0.7791537642478943,5.158780574798584,1716380558.1222901,,,,,,,
