epoch,start.epoch,end.epoch,start.epoch_calculation,end.epoch_calculation,start.send_data,end.send_data,start.recv_data,end.recv_data,start.calc_gradients,end.calc_gradients,start.agg_gradients,end.agg_gradients,start.generate_data,end.generate_data,fid,is,start.fid,end.fid,start.is,end.is,size.data,size.feedback,start.swap,end.swap,swap,size.sent,size.recv
0,1716398400.5830889,1716398405.219993,1716398400.5830894,1716398401.3799086,1716398400.744606,1716398400.7584336,1716398400.7584884,1716398401.2112794,1716398401.3277323,1716398401.3799045,1716398401.2118673,1716398401.3275363,1716398400.5830922,1716398400.7446053,533.9569091796875,1.167667269706726,1716398402.0295854,1716398405.1752694,1716398401.386172,1716398402.0295172,0.234375,0.46875,,,False,0.9375,0.46875
1,1716398405.220319,1716398405.4076755,1716398405.2203197,1716398405.4076743,1716398405.222038,1716398405.2415843,1716398405.2416658,1716398405.3990433,1716398405.4066384,1716398405.407673,1716398405.3996532,1716398405.4064631,1716398405.2203262,1716398405.2220373,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
2,1716398405.40785,1716398405.4938204,1716398405.4078503,1716398405.4938195,1716398405.40896,1716398405.436453,1716398405.436492,1716398405.4845612,1716398405.4927409,1716398405.4938176,1716398405.4852214,1716398405.4925609,1716398405.407856,1716398405.4089596,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
3,1716398405.4939866,1716398405.5758123,1716398405.4939868,1716398405.5758114,1716398405.4951286,1716398405.5219855,1716398405.5220294,1716398405.5667186,1716398405.5747852,1716398405.5758097,1716398405.567298,1716398405.5746126,1716398405.4939926,1716398405.495128,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
4,1716398405.5759964,1716398405.6557605,1716398405.5759966,1716398405.6557596,1716398405.577171,1716398405.6080563,1716398405.6081235,1716398405.6473565,1716398405.6547863,1716398405.6557581,1716398405.6479003,1716398405.6546404,1716398405.5760026,1716398405.5771706,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
5,1716398405.655916,1716398405.725197,1716398405.6559165,1716398405.7251964,1716398405.6570182,1716398405.6751409,1716398405.6752138,1716398405.7167294,1716398405.724224,1716398405.7251947,1716398405.717313,1716398405.7240522,1716398405.6559217,1716398405.6570177,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
6,1716398405.7253666,1716398405.795679,1716398405.725367,1716398405.7956777,1716398405.7264705,1716398405.7410324,1716398405.741069,1716398405.7863505,1716398405.794147,1716398405.795676,1716398405.7868273,1716398405.7938683,1716398405.7253726,1716398405.72647,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
7,1716398405.7959006,1716398405.8625638,1716398405.7959013,1716398405.8625627,1716398405.7971873,1716398405.8103204,1716398405.8103552,1716398405.8535545,1716398405.8614266,1716398405.862561,1716398405.8541799,1716398405.8612435,1716398405.7959106,1716398405.7971869,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
8,1716398405.8627517,1716398405.9268546,1716398405.8627522,1716398405.9268537,1716398405.8639529,1716398405.8757343,1716398405.8757732,1716398405.9185421,1716398405.925897,1716398405.926852,1716398405.9191234,1716398405.9257436,1716398405.8627598,1716398405.8639524,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
9,1716398405.9270191,1716398405.992665,1716398405.9270196,1716398405.992664,1716398405.9280772,1716398405.940827,1716398405.940884,1716398405.9836624,1716398405.991622,1716398405.9926627,1716398405.9842458,1716398405.9914024,1716398405.9270246,1716398405.9280767,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
10,1716398405.9928515,1716398406.0597,1716398405.9928517,1716398406.059699,1716398405.994031,1716398406.0046718,1716398406.004707,1716398406.0504732,1716398406.0585485,1716398406.0596974,1716398406.051088,1716398406.058349,1716398405.9928577,1716398405.9940302,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
11,1716398406.05988,1716398406.1250975,1716398406.0598805,1716398406.1250966,1716398406.061014,1716398406.072295,1716398406.0723536,1716398406.1162899,1716398406.1240954,1716398406.125095,1716398406.116856,1716398406.1239247,1716398406.0598855,1716398406.0610135,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
12,1716398406.125276,1716398406.1887262,1716398406.1252766,1716398406.1887255,1716398406.1264534,1716398406.1381464,1716398406.1382174,1716398406.1802003,1716398406.1877246,1716398406.188724,1716398406.180806,1716398406.1875515,1716398406.125282,1716398406.1264532,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
13,1716398406.18891,1716398406.2532256,1716398406.1889105,1716398406.2532244,1716398406.1901877,1716398406.2008965,1716398406.2009497,1716398406.2447722,1716398406.252246,1716398406.2532227,1716398406.2453945,1716398406.2520678,1716398406.188916,1716398406.1901872,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
14,1716398406.2534027,1716398406.3183417,1716398406.253403,1716398406.3183405,1716398406.2546048,1716398406.266356,1716398406.2664223,1716398406.3090994,1716398406.3172495,1716398406.3183389,1716398406.3096778,1716398406.3170683,1716398406.253411,1716398406.254604,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
15,1716398406.3185332,1716398406.382034,1716398406.3185334,1716398406.3820329,1716398406.3197458,1716398406.330023,1716398406.3300793,1716398406.3728235,1716398406.3804579,1716398406.38203,1716398406.3733504,1716398406.3802917,1716398406.3185394,1716398406.3197453,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
16,1716398406.3823483,1716398406.4459047,1716398406.3823488,1716398406.4459035,1716398406.3839524,1716398406.3942096,1716398406.3942835,1716398406.4369211,1716398406.4448376,1716398406.445902,1716398406.4374673,1716398406.444663,1716398406.382356,1716398406.383952,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
17,1716398406.4460895,1716398406.511722,1716398406.4460897,1716398406.5117207,1716398406.44717,1716398406.4580646,1716398406.4581468,1716398406.5019534,1716398406.5103586,1716398406.5117192,1716398406.5028021,1716398406.5101826,1716398406.4460948,1716398406.4471695,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
18,1716398406.511916,1716398406.5745466,1716398406.5119166,1716398406.5745456,1716398406.5135074,1716398406.5234451,1716398406.523522,1716398406.5659187,1716398406.57348,1716398406.5745442,1716398406.566489,1716398406.5733123,1716398406.5119226,1716398406.513507,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
19,1716398406.5747244,1716398406.641442,1716398406.574725,1716398406.6414409,1716398406.5759747,1716398406.5874677,1716398406.58754,1716398406.6300406,1716398406.6397834,1716398406.6414387,1716398406.6307178,1716398406.639513,1716398406.57473,1716398406.575974,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
20,1716398406.64171,1716398406.7045662,1716398406.6417108,1716398406.7045653,1716398406.6435592,1716398406.6521835,1716398406.6522558,1716398406.6957529,1716398406.7035728,1716398406.7045636,1716398406.6963112,1716398406.703399,1716398406.641721,1716398406.6435585,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
21,1716398406.7047422,1716398406.7687964,1716398406.7047427,1716398406.7687955,1716398406.7059166,1716398406.7167904,1716398406.7168653,1716398406.7606769,1716398406.7678506,1716398406.768794,1716398406.7612002,1716398406.7676976,1716398406.704748,1716398406.7059162,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
22,1716398406.7689402,1716398406.8332367,1716398406.7689404,1716398406.8332355,1716398406.770112,1716398406.7815166,1716398406.7815926,1716398406.8242478,1716398406.83223,1716398406.833234,1716398406.8248236,1716398406.8320584,1716398406.768946,1716398406.7701116,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
23,1716398406.8334131,1716398406.8970058,1716398406.8334136,1716398406.8970048,1716398406.834578,1716398406.8452106,1716398406.8452852,1716398406.8879416,1716398406.895998,1716398406.897003,1716398406.8886635,1716398406.895821,1716398406.833419,1716398406.834577,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
24,1716398406.897178,1716398406.9601321,1716398406.8971784,1716398406.9601314,1716398406.8984118,1716398406.9083257,1716398406.9083714,1716398406.9510336,1716398406.9591613,1716398406.9601297,1716398406.9517386,1716398406.9589949,1716398406.897184,1716398406.8984113,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
25,1716398406.9604013,1716398407.0235949,1716398406.9604018,1716398407.0235937,1716398406.961765,1716398406.9721258,1716398406.9721963,1716398407.0146124,1716398407.0225928,1716398407.0235922,1716398407.0151901,1716398407.0224164,1716398406.9604075,1716398406.9617646,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
26,1716398407.0237732,1716398407.0864985,1716398407.0237734,1716398407.0864968,1716398407.0248716,1716398407.0342507,1716398407.0342865,1716398407.0768082,1716398407.085126,1716398407.0864947,1716398407.0773785,1716398407.084963,1716398407.0237796,1716398407.024871,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
27,1716398407.0867891,1716398407.146651,1716398407.0867896,1716398407.14665,1716398407.0883958,1716398407.0958738,1716398407.0959089,1716398407.1383777,1716398407.1456513,1716398407.1466486,1716398407.1389422,1716398407.1454687,1716398407.0867984,1716398407.088395,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
28,1716398407.1468136,1716398407.209595,1716398407.146814,1716398407.2095938,1716398407.1478896,1716398407.1575549,1716398407.15763,1716398407.2016704,1716398407.2086682,1716398407.2095923,1716398407.2021887,1716398407.2085223,1716398407.146819,1716398407.1478891,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
29,1716398407.2097661,1716398407.2737277,1716398407.2097666,1716398407.2737267,1716398407.2109318,1716398407.2206628,1716398407.2206972,1716398407.2649071,1716398407.2726593,1716398407.273725,1716398407.2654717,1716398407.2724662,1716398407.209771,1716398407.2109313,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
30,1716398407.2739034,1716398407.335825,1716398407.2739036,1716398407.3358238,1716398407.2750401,1716398407.2846198,1716398407.284694,1716398407.3275118,1716398407.3348374,1716398407.3358223,1716398407.3280616,1716398407.3346803,1716398407.2739093,1716398407.2750397,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
31,1716398407.3360093,1716398407.3988867,1716398407.3360095,1716398407.398886,1716398407.3371341,1716398407.3468668,1716398407.3469377,1716398407.3897192,1716398407.3978066,1716398407.3988843,1716398407.3906565,1716398407.3976297,1716398407.3360145,1716398407.3371336,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
32,1716398407.3990736,1716398407.4621449,1716398407.399074,1716398407.4621437,1716398407.4001634,1716398407.4099123,1716398407.4099844,1716398407.4532993,1716398407.4610498,1716398407.462142,1716398407.453894,1716398407.4608712,1716398407.39908,1716398407.4001625,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
33,1716398407.462322,1716398407.526198,1716398407.4623225,1716398407.5261965,1716398407.4634974,1716398407.4724977,1716398407.4725325,1716398407.5155814,1716398407.5250404,1716398407.5261953,1716398407.5162814,1716398407.5248559,1716398407.4623275,1716398407.463497,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
34,1716398407.5263705,1716398407.5872574,1716398407.526371,1716398407.5872564,1716398407.5276756,1716398407.5356448,1716398407.535698,1716398407.5784736,1716398407.586247,1716398407.5872548,1716398407.5790825,1716398407.5860612,1716398407.5263765,1716398407.527675,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
35,1716398407.587443,1716398407.6495285,1716398407.5874438,1716398407.6495275,1716398407.588587,1716398407.598206,1716398407.5982678,1716398407.6408298,1716398407.6482983,1716398407.6495256,1716398407.6414344,1716398407.6481066,1716398407.5874488,1716398407.5885866,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
36,1716398407.64978,1716398407.711796,1716398407.6497805,1716398407.7117946,1716398407.651103,1716398407.6606462,1716398407.6607087,1716398407.703237,1716398407.7107248,1716398407.7117932,1716398407.7038238,1716398407.7105453,1716398407.6497898,1716398407.6511025,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
37,1716398407.71198,1716398407.7734344,1716398407.7119803,1716398407.773433,1716398407.7131453,1716398407.7222307,1716398407.7222664,1716398407.7648263,1716398407.7724113,1716398407.7734313,1716398407.7653968,1716398407.772243,1716398407.7119856,1716398407.7131448,,,,,,,0.234375,0.46875,,,False,0.9375,0.46875
