epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716392010.4048014,1716392012.9695604,1716392011.213599,1716392012.9289527,1716392010.4131954,1716392011.2135904,1716392012.9289534,1716392012.9695582,,,,,,,,,,1.6146869659423828,2.5332183837890625,0.1171875,0.234375
1,1716392012.9760547,1716392017.9844973,1716392017.9044504,1716392017.9525886,1716392012.9799123,1716392017.9044437,1716392017.9525893,1716392017.9844964,,,,,,,,,,1.1878806352615356,2.5332183837890625,0.1171875,0.234375
2,1716392017.9847157,1716392018.7830508,1716392018.7559197,1716392018.773505,1716392017.9887187,1716392018.7559106,1716392018.7735054,1716392018.7830496,,,,,,,,,,1.3167121410369873,2.5332183837890625,0.1171875,0.234375
3,1716392018.7832937,1716392019.5046458,1716392019.473523,1716392019.4951286,1716392018.7884133,1716392019.473513,1716392019.4951293,1716392019.5046446,,,,,,,,,,1.2016712427139282,2.5332183837890625,0.1171875,0.234375
4,1716392019.5049536,1716392020.1889772,1716392020.1645162,1716392020.183791,1716392019.553567,1716392020.1645055,1716392020.1837914,1716392020.1889758,,,,,,,,,,0.7783761024475098,2.5332183837890625,0.1171875,0.234375
5,1716392020.189216,1716392020.8897672,1716392020.869864,1716392020.882583,1716392020.1942794,1716392020.8698568,1716392020.8825834,1716392020.8897662,,,,,,,,,,1.0417753458023071,2.5332183837890625,0.1171875,0.234375
6,1716392020.8900115,1716392021.6541474,1716392021.5838602,1716392021.599675,1716392020.923941,1716392021.5838523,1716392021.5996754,1716392021.6541448,,,,,,,,,,1.2631443738937378,2.5332183837890625,0.1171875,0.234375
7,1716392021.654417,1716392022.356111,1716392022.269314,1716392022.2863083,1716392021.657872,1716392022.2693074,1716392022.286309,1716392022.356109,,,,,,,,,,0.7568446397781372,2.5332183837890625,0.1171875,0.234375
8,1716392022.356357,1716392022.9561644,1716392022.935553,1716392022.95064,1716392022.406198,1716392022.9355457,1716392022.9506407,1716392022.9561636,,,,,,,,,,0.9865046739578247,2.5332183837890625,0.1171875,0.234375
9,1716392022.9563968,1716392023.6298144,1716392023.6031182,1716392023.621306,1716392022.9612026,1716392023.6031106,1716392023.6213067,1716392023.6298127,,,,,,,,,,0.7484995722770691,2.5332183837890625,0.1171875,0.234375
