epoch,start.epoch,end.epoch,start.epoch_calculation,end.epoch_calculation,start.send_data,end.send_data,start.recv_data,end.recv_data,start.calc_gradients,end.calc_gradients,start.agg_gradients,end.agg_gradients,start.generate_data,end.generate_data,fid,is,start.fid,end.fid,start.is,end.is,size.data,size.feedback,start.swap,end.swap,swap,size.sent,size.recv
0,1716385412.6923187,1716385418.8981242,1716385412.692319,1716385415.0297616,1716385412.8756597,1716385412.9621398,1716385412.962256,1716385414.757839,1716385414.8809114,1716385415.0297573,1716385414.7588148,1716385414.8807318,1716385412.692322,1716385412.875659,534.154052734375,1.1736619472503662,1716385415.7997756,1716385418.874769,1716385415.0431056,1716385415.7996995,0.234375,2.34375,,,False,4.6875,2.34375
1,1716385418.8984008,1716385419.3401828,1716385418.8984013,1716385419.3401823,1716385418.899876,1716385419.0416858,1716385419.0417252,1716385419.3103144,1716385419.3391721,1716385419.3401809,1716385419.3112783,1716385419.339034,1716385418.8984075,1716385418.8998756,,,,,,,0.234375,2.34375,,,False,4.6875,2.34375
2,1716385419.3403435,1716385419.706034,1716385419.3403437,1716385419.7060332,1716385419.341645,1716385419.5343032,1716385419.5343902,1716385419.6759286,1716385419.7050445,1716385419.7060318,1716385419.6768389,1716385419.7049289,1716385419.3403523,1716385419.3416445,,,,,,,0.234375,2.34375,,,False,4.6875,2.34375
3,1716385419.7061756,1716385420.0071154,1716385419.7061758,1716385420.0071144,1716385419.707466,1716385419.8538477,1716385419.8539085,1716385419.9786255,1716385420.0060987,1716385420.007113,1716385419.979591,1716385420.005971,1716385419.706182,1716385419.7074654,,,,,,,0.234375,2.34375,,,False,4.6875,2.34375
4,1716385420.0072722,1716385420.3015976,1716385420.0072725,1716385420.3015969,1716385420.0083945,1716385420.1253843,1716385420.125422,1716385420.2729752,1716385420.3004189,1716385420.3015957,1716385420.2738452,1716385420.300308,1716385420.0072775,1716385420.0083942,,,,,,,0.234375,2.34375,,,False,4.6875,2.34375
5,1716385420.3017414,1716385420.571839,1716385420.3017418,1716385420.5718384,1716385420.3029277,1716385420.4372616,1716385420.4373088,1716385420.543291,1716385420.570878,1716385420.571837,1716385420.5440724,1716385420.5707855,1716385420.3017488,1716385420.3029268,,,,,,,0.234375,2.34375,,,False,4.6875,2.34375
6,1716385420.5719671,1716385420.8744032,1716385420.5719676,1716385420.8744025,1716385420.573126,1716385420.7056904,1716385420.705728,1716385420.8451319,1716385420.873418,1716385420.8744013,1716385420.8459373,1716385420.8732817,1716385420.5719726,1716385420.5731256,,,,,,,0.234375,2.34375,,,False,4.6875,2.34375
7,1716385420.8745587,1716385421.1638088,1716385420.874559,1716385421.163808,1716385420.8756635,1716385421.0415306,1716385421.0418537,1716385421.1351233,1716385421.1627963,1716385421.163807,1716385421.1360886,1716385421.1626637,1716385420.8745642,1716385420.875663,,,,,,,0.234375,2.34375,,,False,4.6875,2.34375
8,1716385421.1639435,1716385421.4785419,1716385421.1639438,1716385421.4785411,1716385421.165163,1716385421.3095527,1716385421.3096943,1716385421.4479086,1716385421.4774542,1716385421.4785392,1716385421.4489572,1716385421.477327,1716385421.1639497,1716385421.1651626,,,,,,,0.234375,2.34375,,,False,4.6875,2.34375
9,1716385421.4786923,1716385421.7583652,1716385421.4786928,1716385421.7583644,1716385421.4799402,1716385421.6200747,1716385421.6201236,1716385421.7284331,1716385421.7574067,1716385421.7583635,1716385421.7292488,1716385421.7573133,1716385421.4787,1716385421.4799397,,,,,,,0.234375,2.34375,,,False,4.6875,2.34375
