epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716392010.786345,1716392012.7832212,1716392011.3190122,1716392012.7380831,1716392010.7913861,1716392011.3190074,1716392012.7380838,1716392012.7832193,,,,,,,,,,1.5600554943084717,2.5332183837890625,0.1171875,0.234375
1,1716392012.7834635,1716392018.3531835,1716392018.1987536,1716392018.3377373,1716392012.7869031,1716392018.1987455,1716392018.337738,1716392018.3531826,,,,,,,,,,1.2532739639282227,2.5332183837890625,0.1171875,0.234375
2,1716392018.3538015,1716392019.1063042,1716392019.0618362,1716392019.1004534,1716392018.391617,1716392019.0618274,1716392019.1004543,1716392019.1063035,,,,,,,,,,0.8642534017562866,2.5332183837890625,0.1171875,0.234375
3,1716392019.1064737,1716392019.78568,1716392019.7381907,1716392019.7781115,1716392019.1091962,1716392019.7381806,1716392019.7781124,1716392019.7856789,,,,,,,,,,1.3717944622039795,2.5332183837890625,0.1171875,0.234375
4,1716392019.7859452,1716392020.5033274,1716392020.4361854,1716392020.4877725,1716392019.8380778,1716392020.436175,1716392020.4877737,1716392020.5033264,,,,,,,,,,1.0032906532287598,2.5332183837890625,0.1171875,0.234375
5,1716392020.5046256,1716392021.2138703,1716392021.167043,1716392021.2076554,1716392020.5260973,1716392021.1670375,1716392021.2076561,1716392021.213869,,,,,,,,,,1.0374172925949097,2.5332183837890625,0.1171875,0.234375
6,1716392021.2140205,1716392021.8962426,1716392021.8469718,1716392021.8916028,1716392021.2198734,1716392021.8469634,1716392021.8916037,1716392021.896242,,,,,,,,,,1.1884615421295166,2.5332183837890625,0.1171875,0.234375
7,1716392021.8964071,1716392022.6054964,1716392022.5625181,1716392022.5879416,1716392021.9002717,1716392022.5625117,1716392022.5879424,1716392022.6054957,,,,,,,,,,1.0326613187789917,2.5332183837890625,0.1171875,0.234375
8,1716392022.6057796,1716392023.2989767,1716392023.2170851,1716392023.2524183,1716392022.6099312,1716392023.2170794,1716392023.2524188,1716392023.2989757,,,,,,,,,,1.120208740234375,2.5332183837890625,0.1171875,0.234375
9,1716392023.299215,1716392023.870641,1716392023.8551266,1716392023.8623483,1716392023.3028984,1716392023.8551204,1716392023.8623488,1716392023.87064,,,,,,,,,,1.2035596370697021,2.5332183837890625,0.1171875,0.234375
10,1716392023.8707798,1716392024.521082,1716392024.500893,1716392024.5168707,1716392023.8835804,1716392024.5008864,1716392024.5168712,1716392024.521081,,,,,,,,,,0.9172437787055969,2.5332183837890625,0.1171875,0.234375
11,1716392024.52126,1716392025.1230633,1716392025.0512404,1716392025.1009598,1716392024.5255241,1716392025.0512311,1716392025.1009603,1716392025.1230624,,,,,,,,,,0.5387052893638611,2.5332183837890625,0.1171875,0.234375
12,1716392025.1366434,1716392025.804026,1716392025.7669728,1716392025.8008432,1716392025.139528,1716392025.766963,1716392025.8008442,1716392025.804025,,,,,,,,,,1.0225629806518555,2.5332183837890625,0.1171875,0.234375
13,1716392025.806912,1716392026.4462473,1716392026.3592222,1716392026.4145231,1716392025.8110516,1716392026.3592167,1716392026.4145238,1716392026.4462461,,,,,,,,,,0.5122470259666443,2.5332183837890625,0.1171875,0.234375
14,1716392026.4464564,1716392027.2167087,1716392027.0840876,1716392027.1926937,1716392026.508796,1716392027.0840778,1716392027.1926944,1716392027.216708,,,,,,,,,,0.679623007774353,2.5332183837890625,0.1171875,0.234375
15,1716392027.2173657,1716392027.7331257,1716392027.712619,1716392027.7285337,1716392027.231077,1716392027.712607,1716392027.7285342,1716392027.733125,,,,,,,,,,0.6112899780273438,2.5332183837890625,0.1171875,0.234375
